U,I1,I2,I3
-1,0.2,0.9,0.3
0,0.9,3.9,1.7
1,1.9,8.4,3.5
2,3.2,13.6,5.6
3,4.3,18.1,7.1
4,5.2,21.7,8.4
5,6.2,24.9,9.4
6,7,27.3,10.2
7,7.7,29.5,11.1
8,8.4,32,12.2
9,9.1,34.6,13.3
10,9.8,37.3,14.4
11,10.5,39.9,15.5
12,11.1,42.5,16.6
13,11.7,44.9,17.6
14,12.3,47,18.5
15,12.7,48.8,19.3
16,13.2,50.7,20.2
17,13.6,52.4,21
18,14,54.2,21.8
19,14.4,56.0,22.4
20,14.8,57.6,23.1
21,15.1,59.3,23.7
22,15.5,60.9,24.3
23,15.8,62.3,24.9
24,16.2,63.8,25.3
25,16.5,65.1,25.8
26,16.8,66.4,26.3
27,17.2,67.5,26.7
28,17.6,68.5,27.1
29,17.9,69.6,27.4
30,18.2,70.7,27.7
31,18.4,71.7,28.1
32,18.7,72.7,28.4
33,18.9,73.4,28.8
34,19.1,74.1,29.0
35,19.2,75.1,29.6
36,19.5,76.1,29.9
37,19.7,76.9,30.1
38,19.9,77.6,30.5
39,20.1,78.2,30.8
40,20.3,78.6,31
41,20.5,79.3,31.3
42,20.7,80.0,31.5
43,20.9,80.6,31.8
44,21.0,81.3,32
45,21.2,81.9,32.1
46,21.3,82.4,32.3
47,21.5,82.9,32.5
48,21.7,83.5,32.7
49,21.9,84.2,32.8
50,22.1,84.8,33.1
